,t,ke_weno5,ke_test,ke_reward,disper_weno5,disper_test,disper_imp
0,0.01,1970.115091741246,1970.8948469275515,0.000395791692360703,0.0002748489661992901,0.0004899617731628062,0.7826582356782086
1,0.02,1967.9377577904831,1969.2745334723063,0.0006792774194870344,0.00024394933428479432,0.00048282538651671467,0.9792035421299767
2,0.03,1965.7897327548726,1967.7388475149996,0.0009915174179873087,0.00020876512905222217,0.00048140462935899553,1.3059628374936754
3,0.04,1963.7339594455646,1966.1762666056306,0.0012437057210925584,0.00018568522666188,0.0004540931480401827,1.4454996027608327
4,0.05,1961.7105579529466,1964.5867715180739,0.0014661763191654575,0.00016963613314619763,0.0004489021036129321,1.6462646565166308
5,0.06,1959.7038621399056,1962.8719524812093,0.00161661687896264,0.00014769101919076994,0.0004233429417020893,1.8664095083213188
6,0.07,1957.7455258814825,1961.1377176615274,0.0017327031195832898,0.00012757628818554732,0.00037979123524602794,1.9769735477305819
7,0.08,1955.8056426363325,1959.342105723435,0.0018081873832491713,0.00011065036748556553,0.0003529075403466937,2.1893932967979604
8,0.09,1953.924690574237,1957.538935125719,0.0018497358516000872,0.0001011373598612308,0.0003628566668717895,2.5877609161407835
9,0.1,1952.1187457467913,1955.8897877353688,0.0019317687496180902,9.543203826487815e-05,0.0003544746708645783,2.714419992588963
10,0.11,1950.354073990922,1954.2028261481473,0.001973360739237373,9.302912989783764e-05,0.0003783787353122709,3.0673145683271184
11,0.12,1948.5769448049691,1952.5427589325936,0.0020352360927791135,8.782515151993819e-05,0.0003754304222917922,3.2747483584649606
12,0.13,1946.8283643631694,1950.9624893478704,0.002123517953804388,8.629833887891089e-05,0.000400924256597839,3.6457934394356535
13,0.14,1945.0658563588613,1949.3703448947076,0.0022130297140192656,9.195740615351952e-05,0.00043145955925053133,3.6919500809997334
14,0.15,1943.3608793811413,1947.8913638607926,0.0023312625707962997,0.00010591116958540222,0.0004012113429089134,2.7881872561646466
15,0.16,1941.7216283838568,1946.4822366592257,0.002451746020530887,0.00012569887333788269,0.0005500695668906821,3.376089874823914
16,0.17,1940.100625001869,1945.126083031642,0.002590307927851976,0.0001474955082500738,0.0005630843164208164,2.8176370460456694
17,0.18,1938.4524944007487,1943.776189245104,0.002746363328341994,0.00016921935686736245,0.0006030700553163629,2.563836114736338
18,0.19,1936.8022035830622,1942.3919239758436,0.0028860563987589405,0.00018861391017764383,0.0005895776743617317,2.1258440790843305
19,0.2,1935.1433942937724,1940.9678441726871,0.0030098285719235562,0.00021223759570482625,0.0005865098637002071,1.7634588572889207
20,0.21,1933.511521807245,1939.5944614621544,0.0031460581363507156,0.00023706142311347085,0.0006935412835069095,1.9255763101318335
21,0.22,1931.9507995696263,1938.357442339881,0.0033161521358007207,0.0002602216916819099,0.0007374925856899091,1.8340934259677555
22,0.23,1930.4020683051508,1937.1183530518406,0.0034792154737932623,0.00027861344948471647,0.0007590713525110243,1.7244605524783316
23,0.24,1928.8260451816552,1935.8574018030104,0.003645407339308848,0.00030233887060413867,0.0008492142316060291,1.8088159154299768
24,0.25,1927.2220385106325,1934.5865018497734,0.0038212843107752192,0.0003248012558508586,0.0008795229957940312,1.7078805267855497
25,0.26,1925.5992071401472,1933.3096939115235,0.004004201259943274,0.0003402707509769436,0.0009674076692691536,1.8430526764103337
26,0.27,1924.0121455936728,1932.0512856771586,0.0041783208603420885,0.00035196643235561653,0.0009819326450868648,1.7898474252645462
27,0.28,1922.4945792240994,1930.8635225799053,0.004353168766376259,0.0003593441573065211,0.001060463153208712,1.9511072648501013
28,0.29,1920.9816512894604,1929.700095201048,0.004538535756307471,0.00036431209230063024,0.0011856866200573631,2.2545903501850684
