,t,ke_weno5,ke_test,ke_reward,disper_weno5,disper_test,disper_imp
0,0.01,2133.7045803480105,2133.77420120216,3.2629097200587154e-05,0.001714116485263341,0.001826726686293344,0.06569576921880116
1,0.02,2133.6183523551445,2133.7427754989367,5.831555753865736e-05,0.0014588799552227632,0.0019781012769466166,0.35590407549644554
2,0.03,2133.540052526877,2133.719980707084,8.433316262035362e-05,0.001220176487281908,0.001856357662051599,0.5213845549399678
3,0.04,2133.473437876864,2133.7014020260067,0.00010685117756592533,0.0010493550692401861,0.001677025485186446,0.5981487433045343
4,0.05,2133.4135117362357,2133.683267054622,0.00012644305330500316,0.0009324109081475125,0.0016600192937256506,0.7803516445595104
5,0.06,2133.3587322593294,2133.6682603073464,0.00014508954510872307,0.0008790456826038818,0.0017198489119496071,0.9564954882152701
6,0.07,2133.304516171275,2133.6548227190956,0.0001642084124255927,0.0008425369816815072,0.0018222610823645225,1.1628262283843194
7,0.08,2133.254956959252,2133.640104676064,0.00018054462527117288,0.0008517025033740178,0.0019462272074144459,1.2851021333205792
8,0.09,2133.2079967373443,2133.6276157304765,0.00019670795992410284,0.0008655271542939976,0.002085384141356745,1.4093803770463715
9,0.1,2133.162873012999,2133.616901603942,0.00021284290884993062,0.0008550355478934282,0.0020211076878375984,1.3637703634861151
10,0.11,2133.1189298248273,2133.604967315364,0.0002278529732875345,0.0008316660389366391,0.0021057178659607883,1.531927200794613
11,0.12,2133.079405953791,2133.5942299122744,0.00024135245835021912,0.0007917055606708525,0.0021135073111986985,1.6695622920821926
12,0.13,2133.0410921515668,2133.584413680004,0.00025471685962186186,0.0007705974231181697,0.0022068938160609607,1.8638738592336788
13,0.14,2133.0036741744834,2133.5738959101955,0.0002673327489379762,0.0007513194883893976,0.0022971322755421606,2.0574639830873007
14,0.15,2132.964711019334,2133.5637310949423,0.0002808391871247373,0.0007661245297671975,0.0023914734209019312,2.121520494362227
15,0.16,2132.9259922966776,2133.555227482305,0.0002950103228616108,0.0007600836776921849,0.0024270270948318576,2.1931051357410465
16,0.17,2132.887165422243,2133.545907950366,0.0003088501533519139,0.0007849812498806393,0.0024514846202012015,2.1229849382694974
17,0.18,2132.8504017696887,2133.5359500520344,0.0003214235193320647,0.0007886696328225233,0.002478904404077573,2.143146763754512
18,0.19,2132.8163340137653,2133.527689124916,0.00033352853680179706,0.0007451196961411595,0.002469929745630933,2.3148093634113467
19,0.2,2132.7867248014973,2133.520183326482,0.0003438967977695828,0.0007188860953474805,0.002471509018535764,2.437970263343508
20,0.21,2132.7599113369515,2133.5122747414894,0.00035276516617677167,0.0006849727897326172,0.0025502877928862237,2.723195769399456
21,0.22,2132.7326333845076,2133.5057332878914,0.00036249264970300565,0.0006873019825242224,0.002694501329640177,2.9204038372539034
22,0.23,2132.7023921382965,2133.4990150750036,0.0003735274737082239,0.0007138685438038474,0.0027111657502673966,2.797850141737517
23,0.24,2132.6721975861697,2133.49062932295,0.0003837588063027031,0.0007141495371811835,0.002690983162450555,2.768094806967351
24,0.25,2132.642851882021,2133.483493797514,0.0003941784789471825,0.0007122234192702809,0.0027095486994214986,2.8043521542686802
25,0.26,2132.615288746948,2133.4774555949743,0.00040427678286647506,0.0006840083444113912,0.0027224524900711098,2.980145143424907
26,0.27,2132.5894855141414,2133.4721278063316,0.000413882886596717,0.0006934268555234128,0.0028391265863834075,3.0943418383188757
27,0.28,2132.562017728562,2133.467111516049,0.0004244161623263576,0.0006585652006251275,0.002820092004504881,3.282175860230658
28,0.29,2132.533659041896,2133.4627468665567,0.00043567322875359693,0.0006538015789034769,0.002832653739253948,3.3325893216788076
29,0.3,2132.5033273018425,2133.457048242587,0.0004472306929299563,0.0006357336364627306,0.0028770751643333392,3.5255984571488153
30,0.31,2132.472727218495,2133.449509549693,0.00045805149989996963,0.000629717197391082,0.0029397021153188293,3.668289396411617
31,0.32,2132.444191091332,2133.4418878212246,0.00046786534159282134,0.0006593056918181791,0.0030060947591032065,3.5594855260740204
32,0.33,2132.416675790594,2133.4341962013823,0.0004771677235224647,0.0006540248084225929,0.003004980072906372,3.5945964651614988
33,0.34,2132.3916292888325,2133.4271545631245,0.00048561683513903553,0.0006136956050037571,0.002995073458343569,3.880389290591763
34,0.35,2132.3668688429198,2133.421632733471,0.0004946446626812318,0.000591226614226768,0.0030524221256397607,4.162863193552022
35,0.36,2132.341832508533,2133.417125540607,0.0005042779800501496,0.0006137581763101044,0.003165530932040722,4.15761916374263
36,0.37,2132.3172543172873,2133.41219402229,0.0005134975589518032,0.0006359894294188697,0.003233896860227674,4.084828002853163
37,0.38,2132.2935093530577,2133.4062598199544,0.0005218561431696855,0.000625560341295438,0.003276625317010682,4.237904484522311
38,0.39,2132.268964014831,2133.4001811884873,0.0005305227402110368,0.0006057559947219844,0.003198382873793177,4.279985508457239
39,0.4,2132.2447588087603,2133.393587237045,0.0005387882528675725,0.000593377477440809,0.003184213517886958,4.366252746262336
40,0.41,2132.218923044554,2133.3873320321422,0.0005479779655646055,0.0005673271920920225,0.0031871179250442475,4.617777482675792
41,0.42,2132.191798666161,2133.3822367088687,0.0005583165845832738,0.0005653600921481538,0.003208579377823228,4.675284517575062
42,0.43,2132.164748048399,2133.3769076752114,0.0005685112409452575,0.0005399532222077068,0.0032351908443014597,4.991613182848941
43,0.44,2132.139119177302,2133.3706649632413,0.0005776104264785253,0.0005340462824658017,0.003265201918095026,5.114080418309283
44,0.45,2132.1147385482964,2133.3638178580127,0.000585840568114504,0.0005945350928142289,0.003283380679058563,4.522601977146037
45,0.46,2132.0906726022336,2133.356666160706,0.0005937803559392663,0.0006023005877211803,0.0033196792707914846,4.511665335329617
46,0.47,2132.065649597552,2133.349518299303,0.0006021712802293244,0.0005680362406475213,0.0032640856263542405,4.746262989546957
47,0.48,2132.0416222291933,2133.3443772680257,0.0006110364006262081,0.0005540374447352149,0.0032045031043929067,4.783910699256799
48,0.49,2132.0182153683218,2133.3404726958593,0.0006201904458442709,0.0005348379137126249,0.0032288444044741944,5.037052201592973
49,0.5,2131.9964896370766,2133.336419924239,0.0006284861601206782,0.0005234111085655605,0.003260003269639252,5.228379979503083
50,0.51,2131.9759574350633,2133.3318602553513,0.0006359841045859849,0.0005357315076147643,0.0032299127561925788,5.0289766614121865
